peak	types	genes	states	n_edges
chr10:73110385-73110545	proximal	NUDT13	.	4
chr10:73110953-73111269	proximal	NUDT13	.	8
chr10:7312191-7312369	distal	.	.	2
chr10:73136243-73136411	distal	.	.	4
chr10:73168035-73168710	proximal	ECD,FAM149B1	.	4
chr10:73247148-73247418	proximal	DNAJC9,DNAJC9-AS1,ENSG00000288559	.	12
chr10:73252357-73252907	proximal	DNAJC9-AS1,MRPS16	.	4
chr10:73358385-73358594	proximal	CFAP70	.	12
chr10:73358684-73358881	proximal	CFAP70	.	2
chr10:73413332-73414221	proximal	ANXA7	.	2
chr10:73495523-73496203	proximal	PPP3CB,PPP3CB-AS1	.	32
chr10:73597301-73597451	distal	.	.	2
chr10:73601767-73601981	distal	.	.	4
chr10:73625227-73625594	proximal	ENSG00000268584,USP54	.	28
chr10:73625750-73626228	proximal	ENSG00000268584,USP54	.	16
chr10:73635776-73636090	distal	.	.	2
chr10:73664162-73664366	proximal	SYNPO2L	.	4
chr10:7370000-7370409	distal	.	.	2
chr10:73729842-73730819	proximal	BMS1P4,BMS1P4-AGAP5,ENSG00000290737,GLUD1P3	.	32
chr10:73781916-73782361	proximal	CHCHD1,ENSG00000288823	.	8
chr10:73810979-73812120	proximal	ENSG00000272916,NDST2	.	8
chr10:73831125-73831275	distal	.	.	2
chr10:73848939-73849267	distal	.	.	2
chr10:73940707-73940925	distal	.	.	10
chr10:73966079-73966487	distal	.	.	14
chr10:73966644-73966817	distal	.	.	12
chr10:73997499-73998483	distal	.	.	2
chr10:74073378-74073550	distal	.	.	8
chr10:74095725-74095892	distal	.	.	2
chr10:74176315-74176987	distal	.	.	6
chr10:74266349-74266672	distal	.	.	2
chr10:74302324-74302474	distal	.	.	8
chr10:7433466-7433659	distal	.	.	2
chr10:74418317-74418557	distal	.	.	8
chr10:74543080-74543265	distal	.	.	2
chr10:74585438-74585597	distal	.	.	2
chr10:74753382-74753532	distal	.	.	12
chr10:74806115-74806298	distal	.	.	2
chr10:74825662-74827084	distal	.	.	2
chr10:74956013-74956163	distal	.	.	2
chr10:75099811-75100209	proximal	SAMD8	.	8
chr10:75111139-75111822	distal	.	.	8
chr10:75111920-75112356	distal	.	.	4
chr10:75163462-75163650	distal	.	.	2
chr10:75210031-75211122	proximal	VDAC2	.	2
chr10:75358584-75359179	distal	.	.	4
chr10:75379287-75379595	distal	.	.	2
chr10:75401891-75402041	proximal	ENSG00000270087,ZNF503,ZNF503-AS2	.	12
chr10:7541809-7542034	distal	.	.	2
chr10:75461786-75461949	distal	.	.	6
chr10:75493378-75493528	distal	.	.	4
chr10:75509069-75509269	distal	.	.	8
chr10:75592117-75592356	proximal	ENSG00000286715	.	8
chr10:75592870-75593106	proximal	ENSG00000286715	.	2
chr10:75613636-75614127	distal	.	.	4
chr10:75675967-75676117	distal	.	.	2
chr10:7570202-7570381	distal	.	.	2
chr10:75973003-75973209	distal	.	.	4
chr10:76103301-76103493	distal	.	.	4
chr10:76251928-76252538	distal	.	.	4
chr10:76401913-76402188	distal	.	.	2
chr10:7666987-7667316	proximal	ITIH5	.	4
chr10:7687363-7687569	distal	.	.	2
chr10:77136837-77137056	distal	.	.	2
chr10:77165860-77166110	distal	.	.	2
chr10:77525741-77525911	distal	.	.	2
chr10:78468993-78469143	distal	.	.	2
chr10:78552341-78552491	proximal	ENSG00000282952	.	8
chr10:78852985-78853142	distal	.	.	6
chr10:78973510-78974137	distal	.	.	4
chr10:78974774-78974991	distal	.	.	2
chr10:79242740-79242923	distal	.	.	8
chr10:79347293-79347597	proximal	PPIF	.	4
chr10:79374654-79374912	distal	.	.	6
chr10:79467463-79467677	distal	.	.	2
chr10:79487648-79487939	distal	.	.	2
chr10:79490559-79490768	distal	.	.	6
chr10:79549588-79549759	distal	.	.	2
chr10:79628153-79628338	distal	.	.	2
chr10:79700469-79700619	distal	.	.	2
chr10:79779441-79779591	distal	.	.	2
chr10:79826121-79826911	proximal	ENSG00000272447,NUTM2B-AS1,NUTM2E	.	6
chr10:79904699-79905221	proximal	ENSG00000283913	.	8
chr10:79929221-79929389	distal	.	.	2
chr10:80029318-80029616	distal	.	.	2
chr10:80047894-80048091	distal	.	.	2
chr10:80177190-80177383	distal	.	.	2
chr10:80207562-80207775	proximal	LINC00857	.	2
chr10:80408414-80408640	proximal	PRXL2A	.	6
chr10:80453957-80454467	proximal	TSPAN14	.	2
chr10:80662754-80662949	distal	.	.	2
chr10:80700030-80700180	distal	.	.	2
chr10:819962-820192	distal	.	.	4
chr10:85225417-85225567	distal	.	.	2
chr10:85603545-85603808	distal	.	.	2
chr10:85939628-85939778	distal	.	.	2
chr10:86079497-86079662	distal	.	.	2
chr10:86086671-86086821	distal	.	.	2
chr10:86128613-86128807	distal	.	.	10
chr10:86199417-86199567	distal	.	.	2
chr10:86366489-86366639	proximal	GRID1	.	4
chr10:86366750-86366961	proximal	GRID1	.	4
chr10:86387556-86387782	distal	.	.	12
chr10:86423837-86423987	distal	.	.	2
chr10:86521514-86522201	proximal	WAPL,WAPL-DT	.	8
chr10:86711211-86711738	distal	.	.	6
chr10:86755958-86756766	proximal	BMPR1A,ENSG00000272631	.	8
chr10:86769466-86769645	distal	.	.	2
chr10:86823610-86823884	distal	.	.	4
chr10:86854503-86854653	distal	.	.	2
chr10:86865873-86866023	distal	.	.	4
chr10:86939345-86939767	distal	.	.	6
chr10:86954392-86954633	distal	.	.	2
chr10:86966625-86966798	distal	.	.	6
chr10:87073279-87073429	distal	.	.	4
chr10:87085143-87085293	distal	.	.	8
chr10:87094589-87095871	proximal	GLUD1	.	6
chr10:87203286-87203456	proximal	ENSG00000287077	.	2
chr10:87203532-87204075	proximal	ENSG00000287077	.	8
chr10:87204268-87204459	proximal	ENSG00000287077	.	6
chr10:87504653-87504995	proximal	ENSG00000286445,MINPP1	.	20
chr10:87808831-87808981	distal	.	.	12
chr10:87817787-87818444	proximal	CFL1P1	.	4
chr10:87862302-87862917	proximal	ENSG00000289051,KLLN,PTEN	.	12
chr10:87863112-87863771	proximal	ENSG00000289051,KLLN,PTEN	.	30
chr10:88114439-88114669	distal	.	.	16
chr10:88528531-88528902	distal	.	.	6
chr10:88536700-88536850	distal	.	.	2
chr10:88880125-88880506	proximal	STAMBPL1	.	4
chr10:91162878-91163358	proximal	PCGF5	.	8
chr10:91287166-91287316	distal	.	.	4
chr10:91564993-91565143	distal	.	.	4
chr10:91635478-91635703	distal	.	.	4
chr10:91796378-91796645	distal	.	.	8
chr10:91798208-91798816	proximal	TNKS2,TNKS2-DT	.	8
chr10:91923366-91923567	proximal	BTAF1	.	4
chr10:92689530-92689918	proximal	HHEX	.	4
chr10:92722995-92723365	distal	.	.	2
chr10:92843161-92843346	distal	.	.	2
chr10:92882424-92882607	distal	.	.	2
chr10:92892459-92892843	distal	.	.	2
chr10:93110129-93110301	distal	.	.	4
chr10:93160513-93160663	distal	.	.	4
chr10:93496056-93496866	proximal	CEP55	.	4
chr10:93861205-93861370	distal	.	.	4
chr10:94103911-94104092	distal	.	.	4
chr10:94402195-94402953	proximal	TBC1D12	.	12
chr10:94634847-94635160	distal	.	.	4
chr10:95422508-95422658	distal	.	.	4
chr10:95561246-95561643	proximal	SORBS1	.	6
chr10:95655881-95656236	proximal	ALDH18A1	.	2
chr10:95907451-95907729	proximal	CC2D2B	.	4
chr10:96043133-96043831	proximal	CCNJ	.	2
chr10:96043899-96044340	proximal	CCNJ	.	2
chr10:96062084-96062234	distal	.	.	4
chr10:96089605-96090441	proximal	ENTPD1-AS1	.	8
chr10:96129647-96130501	proximal	ENSG00000287009,ZNF518A	.	8
chr10:96162107-96162257	distal	.	.	4
chr10:96375375-96375626	distal	.	.	4
chr10:96586341-96586642	proximal	TM9SF3	.	2
chr10:96586796-96587554	proximal	TM9SF3	.	8
chr10:96831941-96832704	proximal	LCOR	.	4
chr10:96832762-96833094	proximal	LCOR	.	4
chr10:96903317-96903494	distal	.	.	8
chr10:97072932-97073121	distal	.	.	4
chr10:97185544-97186107	proximal	SLIT1	.	2
chr10:97196209-97196620	proximal	ENSG00000286683	.	2
chr10:97263358-97263511	distal	.	.	10
chr10:97292230-97292965	proximal	ARHGAP19,ARHGAP19-SLIT1	.	8
chr10:97318880-97319405	proximal	FRAT1	.	8
chr10:97334931-97335169	proximal	ENSG00000225850,FRAT2	.	12
chr10:97383485-97383673	distal	.	.	4
chr10:97400975-97401649	proximal	ENSG00000231970	.	4
chr10:97425882-97426376	proximal	PGAM1,RRP12	.	36
chr10:97445743-97446309	proximal	EXOSC1,ZDHHC16	.	12
chr10:97446396-97446565	proximal	EXOSC1,ZDHHC16	.	8
chr10:97498100-97498974	proximal	MMS19,UBTD1	.	16
chr10:97529640-97529792	distal	.	.	2
chr10:97534829-97535032	distal	.	.	8
chr10:97553594-97553744	distal	.	.	2
chr10:97572289-97572530	proximal	ANKRD2	.	8
chr10:97633099-97633345	proximal	MORN4	.	6
chr10:97633411-97633948	proximal	MORN4	.	4
chr10:97676828-97676978	distal	.	.	8
chr10:97714352-97714754	distal	.	.	8
chr10:97736984-97737651	proximal	ZFYVE27	.	8
chr10:97791354-97791807	distal	.	.	8
chr10:97823302-97823707	distal	.	.	8
chr10:98011415-98011594	distal	.	.	4
chr10:98170537-98170793	distal	.	.	2
chr10:99392797-99392980	distal	.	.	14
chr10:99520953-99521103	distal	.	.	4
chr10:99532771-99532925	proximal	NKX2-3	.	2
chr10:99533098-99533290	proximal	NKX2-3	.	4
chr10:99620240-99621731	proximal	SLC25A28-DT	.	10
chr10:99659269-99659858	proximal	ENSG00000229278,ENTPD7	.	12
chr10:99731986-99732876	proximal	COX15,ENSG00000285932	.	8
chr10:99845866-99846063	distal	.	.	2
chr10:99896175-99896565	distal	.	.	2
chr10:99914048-99914261	distal	.	.	4
chr10:99957013-99957196	distal	.	.	2
chr11:101864924-101865074	distal	.	.	2
chr11:101914814-101915384	proximal	CEP126	.	4
chr11:102111124-102111327	proximal	ENSG00000277459,YAP1	.	8
chr11:102111385-102111717	distal	.	.	4
chr11:102346688-102347531	proximal	BIRC2,ENSG00000288833	.	8
chr11:102374666-102375391	distal	.	.	2
chr11:102495505-102496084	distal	.	.	8
chr11:102898147-102898297	distal	.	.	10
chr11:10304695-10305171	proximal	ADM,SBF2	.	16
chr11:10305489-10305747	proximal	ADM,SBF2	.	8
chr11:103351058-103351279	distal	.	.	2
chr11:10351682-10351992	distal	.	.	2
chr11:10408606-10408777	distal	.	.	8
chr11:10509368-10509659	distal	.	.	2
chr11:10540637-10540803	proximal	IRAG1-AS1,RNF141	.	8
chr11:10540865-10541804	proximal	IRAG1-AS1,RNF141	.	16
chr11:10551262-10551412	distal	.	.	2
chr11:10635526-10635676	distal	.	.	2
chr11:10669402-10670136	distal	.	.	2
chr11:10735651-10736081	distal	.	.	2
chr11:107457720-107458257	proximal	CWF19L2	.	2
chr11:107565236-107565850	proximal	ALKBH8	.	10
chr11:107590969-107591572	proximal	ELMOD1	.	2
chr11:10761417-10761632	distal	.	.	2
chr11:10792451-10792758	distal	.	.	10
chr11:10808214-10808390	proximal	EIF4G2,ENSG00000246308	.	8
chr11:108222595-108223378	proximal	ATM,NPAT	.	4
chr11:108497673-108498535	proximal	POGLUT3	.	2
chr11:10857703-10858338	proximal	ZBED5,ZBED5-AS1	.	16
chr11:10864347-10864542	distal	.	.	2
chr11:108659676-108659866	distal	.	.	4
chr11:108664833-108665247	proximal	DDX10	.	4
chr11:10878541-10878877	distal	.	.	8
chr11:10933833-10934048	distal	.	.	12
chr11:10934126-10934346	distal	.	.	2
chr11:110167659-110167906	distal	.	.	4
chr11:110208767-110209243	distal	.	.	2
chr11:110256106-110256259	distal	.	.	2
chr11:110711823-110712643	proximal	ARHGAP20	.	4
chr11:111540531-111540738	proximal	LAYN	.	4
chr11:11156015-11156276	proximal	ENSG00000289976	.	4
chr11:111574986-111575136	distal	.	.	2
chr11:111735743-111735983	distal	.	.	4
chr11:111766037-111766725	proximal	PPP2R1B	.	4
chr11:111878722-111879578	proximal	C11orf1,ENSG00000258529	.	4
chr11:111926674-111927320	proximal	DIXDC1	.	10
chr11:111937030-111937460	distal	.	.	2
chr11:112024929-112025676	proximal	DLAT	.	8
chr11:112042164-112042314	distal	.	.	4
chr11:112055216-112055609	distal	.	.	4
chr11:112073912-112074444	proximal	NKAPD1,PIH1D2	.	4
chr11:112145440-112145590	distal	.	.	4
chr11:112226227-112226878	proximal	PTS	.	2
chr11:112227034-112227211	proximal	PTS	.	4
chr11:112280624-112280960	distal	.	.	2
chr11:112305472-112305622	distal	.	.	2
chr11:112406275-112406425	distal	.	.	4
chr11:112913005-112913155	distal	.	.	2
chr11:113289644-113289850	distal	.	.	2
chr11:113580626-113580802	distal	.	.	2
chr11:113664686-113665099	distal	.	.	2
chr11:113906197-113906357	distal	.	.	4
chr11:114059323-114059641	proximal	ENSG00000289230,ZBTB16	.	8
chr11:114154994-114155144	distal	.	.	2
chr11:114166158-114166438	distal	.	.	8
chr11:114234240-114234390	distal	.	.	2
chr11:114439270-114439677	proximal	REXO2	.	4
chr11:1150974-1151124	distal	.	.	8
chr11:115207159-115207558	distal	.	.	4
chr11:115504349-115504823	proximal	CADM1	.	4
chr11:116499746-116499896	proximal	LINC02151	.	2
chr11:116760278-116760428	distal	.	.	4
chr11:116835930-116836385	proximal	APOA1-AS	.	6
chr11:116923094-116923244	distal	.	.	2
chr11:116983794-116983944	distal	.	.	4
chr11:117124710-117124860	distal	.	.	4
chr11:117138630-117139165	distal	.	.	6
chr11:117144141-117144597	proximal	PAFAH1B2	.	10
chr11:117145056-117145220	proximal	PAFAH1B2	.	4
chr11:117178642-117178982	proximal	SIDT2	.	4
chr11:117315717-117316123	proximal	BACE1	.	2
chr11:117427261-117427537	distal	.	.	4
chr11:117573852-117574020	distal	.	.	4
chr11:117809359-117809735	distal	.	.	2
chr11:117817805-117817993	proximal	DSCAML1,ENSG00000254844	.	4
chr11:117860926-117861083	distal	.	.	2
chr11:117876644-117876866	proximal	FXYD6,FXYD6-FXYD2	.	12
chr11:117946908-117947380	distal	.	.	4
chr11:117986041-117986478	proximal	IL10RA	.	4
chr11:118037506-118037656	distal	.	.	2
chr11:11811567-11811803	proximal	ENSG00000286959	.	2
chr11:118145304-118145828	distal	.	.	8
chr11:118331938-118332088	distal	.	.	8
chr11:118359470-118359633	proximal	UBE4A	.	4
chr11:11841436-11842133	proximal	USP47	.	4
chr11:11842303-11842758	distal	.	.	2
chr11:118435310-118435552	proximal	ENSG00000255384	.	4
chr11:118435962-118436678	proximal	KMT2A	.	4
chr11:11849395-11849670	distal	.	.	6
chr11:118530993-118531189	proximal	TMEM25,TTC36-AS1	.	8
chr11:118551442-118551615	distal	.	.	4
chr11:118565718-118566452	distal	.	.	8
chr11:118572042-118572734	proximal	ARCN1,IFT46	.	20
chr11:118621232-118621586	distal	.	.	12
chr11:118634790-118635006	distal	.	.	12
chr11:118659479-118659703	distal	.	.	10
chr11:118689824-118690511	distal	.	.	8
chr11:11876394-11876715	distal	.	.	2
chr11:118792820-118793036	distal	.	.	2
chr11:118810395-118810563	distal	.	.	2
chr11:118829564-118829759	distal	.	.	4
chr11:118897112-118897347	distal	.	.	4
chr11:118911952-118912298	distal	.	.	4
chr11:118918168-118918346	distal	.	.	2
chr11:118929261-118929724	distal	.	.	10
chr11:118997372-118997736	proximal	CENATAC,CENATAC-DT	.	20
chr11:118997941-118998209	proximal	CENATAC,CENATAC-DT	.	12
chr11:118998274-118998837	proximal	CENATAC,CENATAC-DT	.	12
chr11:119030244-119030549	proximal	SLC37A4	.	4
chr11:119030640-119031194	proximal	SLC37A4	.	8
chr11:119056881-119057527	proximal	HYOU1	.	4
chr11:119067575-119067925	proximal	VPS11,VPS11-DT	.	8
chr11:119084784-119085468	proximal	HMBS	.	14
chr11:119095335-119095843	proximal	H2AX	.	10
chr11:119101733-119102404	proximal	C2CD2L,ENSG00000289124	.	12
chr11:119102486-119102636	proximal	C2CD2L	.	8
chr11:119107222-119107417	distal	.	.	6
chr11:119121224-119121924	proximal	HINFP	.	18
chr11:119148048-119148479	proximal	ABCG4	.	8
chr11:119148986-119149333	proximal	ABCG4	.	6
chr11:119168665-119169376	distal	.	.	4
chr11:119181882-119182083	distal	.	.	4
chr11:119196982-119197160	proximal	CCDC153	.	4
chr11:119205783-119206491	proximal	CBL	.	8
chr11:119249688-119249838	distal	.	.	2
chr11:119272729-119272915	distal	.	.	2
chr11:119334186-119334608	proximal	RNF26	.	4
chr11:119374258-119374419	distal	.	.	2
chr11:119436777-119436927	distal	.	.	8
chr11:119533987-119534332	distal	.	.	8
chr11:119560435-119560663	distal	.	.	2
chr11:119615931-119616089	distal	.	.	2
chr11:119666532-119666693	distal	.	.	10
chr11:119729356-119729612	proximal	NECTIN1,NECTIN1-DT	.	4
chr11:119741379-119741580	distal	.	.	10
chr11:119888109-119888458	distal	.	.	4
chr11:120197320-120197844	distal	.	.	6
chr11:120210848-120210998	proximal	OAF	.	2
chr11:120300083-120300249	distal	.	.	4
chr11:120324836-120325380	proximal	TLCD5	.	10
chr11:120325486-120325745	proximal	TLCD5	.	4
chr11:120336061-120336877	proximal	ARHGEF12	.	4
chr11:120356895-120357045	distal	.	.	2
chr11:120410271-120410421	distal	.	.	2
chr11:120494689-120494846	distal	.	.	2
chr11:120501744-120501903	distal	.	.	2
chr11:120660144-120660353	distal	.	.	6
chr11:12066719-12067037	proximal	ENSG00000254991	.	6
chr11:120758964-120759125	distal	.	.	4
chr11:120847786-120847982	distal	.	.	4
chr11:12110367-12110906	distal	.	.	6
chr11:121292513-121292977	proximal	SC5D	.	4
chr11:12167406-12167556	distal	.	.	2
chr11:122592487-122592637	distal	.	.	2
chr11:122655595-122655827	proximal	UBASH3B	.	2
chr11:122656426-122657068	distal	.	.	2
chr11:122692482-122692707	distal	.	.	2
chr11:122814579-122814729	distal	.	.	2
chr11:123016788-123016938	distal	.	.	4
chr11:123188548-123188781	proximal	ENSG00000254710	.	2
chr11:123213194-123213578	distal	.	.	4
chr11:123261326-123261748	distal	.	.	4
chr11:123357556-123358041	proximal	GRAMD1B	.	4
chr11:123358194-123358591	proximal	GRAMD1B	.	12
chr11:123430897-123431341	distal	.	.	6
chr11:123555072-123555233	distal	.	.	4
chr11:123641019-123641244	distal	.	.	4
chr11:123653991-123654759	proximal	SCN3B	.	4
chr11:123730751-123730901	distal	.	.	2
chr11:124739502-124740402	proximal	NRGN	.	14
chr11:124762280-124762444	proximal	ESAM	.	4
chr11:124763175-124763509	distal	.	.	4
chr11:124799756-124800769	proximal	MSANTD2,MSANTD2-AS1	.	8
chr11:124866355-124866528	distal	.	.	4
chr11:124953802-124954440	proximal	CCDC15,CCDC15-DT	.	4
chr11:12496434-12496584	distal	.	.	2
chr11:125062605-125063451	proximal	SLC37A2	.	6
chr11:125095139-125095289	distal	.	.	2
chr11:125111438-125112079	proximal	ENSG00000289631,TMEM218	.	20
chr11:125164524-125164963	proximal	PKNOX2,PKNOX2-DT	.	4
chr11:125404583-125405090	distal	.	.	4
chr11:125569238-125569827	proximal	EI24	.	12
chr11:125580116-125580266	distal	.	.	2
chr11:125618469-125618689	distal	.	.	8
chr11:125864093-125864243	distal	.	.	2
chr11:12587793-12587969	distal	.	.	16
chr11:125887498-125887740	distal	.	.	8
chr11:125932820-125933152	distal	.	.	8
chr11:125947347-125947512	distal	.	.	4
chr11:126062389-126063606	proximal	CDON	.	4
chr11:126115779-126116245	distal	.	.	4
chr11:126146792-126147306	distal	.	.	10
chr11:126159795-126160171	proximal	ENSG00000254833	.	8
chr11:126210953-126211453	proximal	FAM118B,RPUSD4	.	16
chr11:126268603-126269415	proximal	FOXRED1,SRPRA	.	8
chr11:126282805-126283107	proximal	TIRAP	.	4
chr11:126283447-126283673	distal	.	.	2
chr11:126303451-126304129	proximal	DCPS,TIRAP-AS1	.	8
chr11:126304214-126304475	proximal	DCPS,TIRAP-AS1	.	8
chr11:126355223-126355719	proximal	GSEC,ST3GAL4	.	4
chr11:126480639-126480986	distal	.	.	10
chr11:126536100-126536373	distal	.	.	4
chr11:12673991-12674539	proximal	TEAD1	.	4
chr11:12746606-12747080	distal	.	.	2
chr11:12800008-12800320	distal	.	.	4
chr11:128522174-128522763	distal	.	.	2
chr11:12894155-12894350	distal	.	.	2
chr11:129211490-129211760	distal	.	.	2
chr11:129279252-129279821	proximal	ARHGAP32	.	2
chr11:129344609-129344759	distal	.	.	4
chr11:129364083-129364658	distal	.	.	2
chr11:129583051-129583201	distal	.	.	4
chr11:129641683-129641833	distal	.	.	2
chr11:129695618-129695835	distal	.	.	2
chr11:129729058-129729208	distal	.	.	4
chr11:129895249-129896037	proximal	NFRKB	.	6
chr11:130002146-130003413	proximal	PRDM10,PRDM10-DT	.	8
chr11:130069238-130070026	distal	.	.	4
chr11:130213223-130213500	distal	.	.	2
chr11:130384453-130384603	distal	.	.	4
chr11:130434808-130435241	distal	.	.	8
chr11:130448339-130448834	proximal	ADAMTS15	.	4
chr11:130861797-130862245	distal	.	.	4
chr11:1309574-1310072	proximal	TOLLIP,TOLLIP-DT	.	8
chr11:13224053-13224263	distal	.	.	8
chr11:13277060-13277895	proximal	BMAL1,ENSG00000290083	.	8
chr11:134247515-134247665	distal	.	.	2
chr11:134331544-134332097	proximal	GLB1L2	.	4
chr11:134360301-134360578	distal	.	.	2
chr11:134558445-134558595	distal	.	.	4
chr11:13462714-13463506	proximal	BTBD10,ENSG00000287548	.	8
chr11:13668137-13668844	proximal	FAR1,FAR1-IT1	.	8
chr11:13668959-13669468	proximal	FAR1,FAR1-IT1	.	8
chr11:13883390-13883540	distal	.	.	4
chr11:1389150-1390021	proximal	BRSK2	.	4
chr11:14359136-14359315	distal	.	.	8
chr11:14486316-14486469	distal	.	.	2
chr11:14499678-14500149	proximal	COPB1	.	4
chr11:14643549-14644373	proximal	PDE3B,PSMA1	.	8
chr11:14764050-14764200	distal	.	.	2
chr11:14886012-14886177	distal	.	.	2
chr11:15073789-15073952	distal	.	.	2
chr11:15202875-15203025	distal	.	.	8
chr11:15208698-15208923	distal	.	.	2
chr11:15258567-15258717	distal	.	.	2
chr11:15370735-15371130	distal	.	.	2
chr11:15371668-15371871	distal	.	.	2
chr11:16738350-16738954	proximal	SOX6	.	8
chr11:17036714-17036869	distal	.	.	2
chr11:17207601-17207804	proximal	NUCB2,PIK3C2A	.	4
chr11:17257027-17257282	distal	.	.	8
chr11:17276840-17277009	distal	.	.	8
chr11:17352152-17352390	proximal	ENSG00000285545,NCR3LG1	.	20
chr11:17388855-17389008	proximal	KCNJ11	.	2
chr11:17546987-17547346	proximal	OTOG	.	4
chr11:17734489-17734803	proximal	KCNC1	.	4
chr11:17882680-17882830	distal	.	.	8
chr11:17984647-17984797	distal	.	.	2
chr11:18001927-18002077	distal	.	.	2
chr11:18012284-18013381	proximal	SERGEF	.	2
chr11:18275012-18275184	distal	.	.	8
chr11:18321896-18322835	proximal	GTF2H1,HPS5	.	8
chr11:18394239-18394646	proximal	LDHA	.	8
chr11:18395863-18396569	distal	.	.	4
chr11:18412209-18412359	proximal	LDHC	.	4
chr11:18527160-18527333	proximal	ENSG00000289499,TSG101	.	8
chr11:18588306-18588585	proximal	SPTY2D1OS,UEVLD	.	12
